id,action_id,verb_id,noun_id,action_cls,verb_cls,noun_cls
0,10,18,27,clap hand,clap,hand
1,3,0,2,pick up screwdriver,pick up,screwdriver
2,19,0,5,pick up finished toy,pick up,finished toy
3,182,4,26,unscrew track with screwdriver,unscrew,track
4,281,9,26,remove screw from track,remove screw from,track
5,2,1,1,put down screw,put down,screw
6,261,4,26,unscrew track with hand,unscrew,track
7,264,7,26,remove track,remove,track
8,1,3,0,rotate partial toy,rotate,partial toy
9,199,1,26,put down track,put down,track
10,432,4,22,unscrew excavator arm with screwdriver,unscrew,excavator arm
11,857,4,22,unscrew excavator arm with hand,unscrew,excavator arm
12,380,7,22,remove excavator arm,remove,excavator arm
13,6,1,0,put down partial toy,put down,partial toy
14,399,10,22,pass excavator arm to other hand,pass,excavator arm
15,229,4,24,unscrew bucket with screwdriver,unscrew,bucket
16,347,9,24,remove screw from bucket,remove screw from,bucket
17,88,13,1,push screw,push,screw
18,337,7,24,remove bucket,remove,bucket
19,176,1,24,put down bucket,put down,bucket
20,99,1,13,put down arm,put down,arm
21,7,0,0,pick up partial toy,pick up,partial toy
22,5,2,0,inspect partial toy,inspect,partial toy
23,87,4,3,unscrew cabin with screwdriver,unscrew,cabin
24,14,4,4,unscrew chassis with screwdriver,unscrew,chassis
25,213,4,4,unscrew chassis with hand,unscrew,chassis
26,139,7,15,remove rear body,remove,rear body
27,125,2,15,inspect rear body,inspect,rear body
28,106,1,15,put down rear body,put down,rear body
29,20,7,3,remove cabin,remove,cabin
30,24,2,3,inspect cabin,inspect,cabin
31,710,7,75,remove figurine,remove,figurine
32,735,1,75,put down figurine,put down,figurine
33,12,1,3,put down cabin,put down,cabin
34,196,19,4,attempt to unscrew chassis,attempt to unscrew,chassis
35,38,9,4,remove screw from chassis,remove screw from,chassis
36,22,1,4,put down chassis,put down,chassis
37,4,1,2,put down screwdriver,put down,screwdriver
38,27,0,4,pick up chassis,pick up,chassis
39,0,0,1,pick up screw,pick up,screw
40,17,8,4,position screw on chassis,position screw on,chassis
41,16,6,4,screw chassis with screwdriver,screw,chassis
42,462,7,56,remove chassis part,remove,chassis part
43,328,1,56,put down chassis part,put down,chassis part
44,292,0,56,pick up chassis part,pick up,chassis part
45,414,5,56,position chassis part,position,chassis part
46,29,2,4,inspect chassis,inspect,chassis
47,98,0,15,pick up rear body,pick up,rear body
48,121,5,15,position rear body,position,rear body
49,66,12,1,attempt to position screw,attempt to position,screw
50,179,6,4,screw chassis with hand,screw,chassis
51,11,0,3,pick up cabin,pick up,cabin
52,15,5,3,position cabin,position,cabin
53,559,0,75,pick up figurine,pick up,figurine
54,558,5,75,position figurine,position,figurine
55,84,0,13,pick up arm,pick up,arm
56,173,0,24,pick up bucket,pick up,bucket
57,268,5,24,position bucket,position,bucket
58,272,8,24,position screw on bucket,position screw on,bucket
59,438,6,24,screw bucket with hand,screw,bucket
60,291,6,24,screw bucket with screwdriver,screw,bucket
61,218,3,22,rotate excavator arm,rotate,excavator arm
62,287,5,22,position excavator arm,position,excavator arm
63,280,0,22,pick up excavator arm,pick up,excavator arm
64,406,8,22,position screw on excavator arm,position screw on,excavator arm
65,709,6,22,screw excavator arm with hand,screw,excavator arm
66,407,6,22,screw excavator arm with screwdriver,screw,excavator arm
67,127,14,22,tilt down excavator arm,tilt down,excavator arm
68,212,0,26,pick up track,pick up,track
69,237,5,26,position track,position,track
70,185,8,26,position screw on track,position screw on,track
71,319,6,26,screw track with hand,screw,track
72,202,6,26,screw track with screwdriver,screw,track
73,23,1,5,put down finished toy,put down,finished toy
74,186,11,31,tilt up crane arm,tilt up,crane arm
75,946,19,32,attempt to unscrew turntable top,attempt to unscrew,turntable top
76,33,4,6,unscrew first wheel with screwdriver,unscrew,first wheel
77,70,17,1,attempt to pick up screw,attempt to pick up,screw
78,52,7,6,remove first wheel,remove,first wheel
79,31,1,6,put down first wheel,put down,first wheel
80,37,4,8,unscrew second wheel with screwdriver,unscrew,second wheel
81,157,4,8,unscrew second wheel with hand,unscrew,second wheel
82,130,7,1,remove screw,remove,screw
83,50,7,8,remove second wheel,remove,second wheel
84,32,1,8,put down second wheel,put down,second wheel
85,40,4,9,unscrew third wheel with screwdriver,unscrew,third wheel
86,171,4,9,unscrew third wheel with hand,unscrew,third wheel
87,44,1,9,put down third wheel,put down,third wheel
88,48,4,11,unscrew fourth wheel with screwdriver,unscrew,fourth wheel
